Country,date,total_cases_per_million,total_deaths_per_million,GDP_per_capita,GDP_Status
Afghanistan,2022-04-25,4343.626,186.755,1803.987,Lowest
Albania,2022-04-25,96641.192,1229.982,11803.431,Low
Algeria,2022-04-25,5918.528,153.085,13913.839,Low
Angola,2022-04-25,2790.694,53.387,5819.495,Lowest
Antigua and Barbuda,2022-04-25,80738.387,1439.662,21490.943,Average
Argentina,2022-04-25,199344.439,2824.458,18933.907,Low
Armenia,2022-04-25,152069.505,3100.912,8787.58,Lowest
Aruba,2022-04-25,323561.183,1991.377,35973.781,High
Australia,2022-04-25,210815.852,290.097,44648.71,High
Austria,2022-04-25,460260.21,2187.566,45436.686,High
Azerbaijan,2022-04-25,76508.016,937.143,15847.419,Low
Bahamas,2022-04-25,81619.263,1924.442,27717.847,Average
Bahrain,2022-04-25,384333.501,1001.877,43290.705,High
Bangladesh,2022-04-25,11406.025,170.148,3523.984,Lowest
Barbados,2022-04-25,237212.671,1377.616,16978.068,Low
Belarus,2022-04-25,102510.594,725.96,17167.967,Low
Belgium,2022-04-25,346421.901,2686.36,42658.576,High
Belize,2022-04-25,141675.611,1667.962,7824.362,Lowest
Benin,2022-04-25,1992.456,12.207,2064.236,Lowest
Bermuda,2022-04-25,206394.941,2040.276,50669.315,High
Bhutan,2022-04-25,73832.811,25.561,8708.597,Lowest
Bolivia,2022-04-25,73969.533,1792.032,6885.829,Lowest
Bosnia and Herzegovina,2022-04-25,116526.211,4873.93,11713.895,Low
Botswana,2022-04-25,116364.673,1022.317,15807.374,Low
Brazil,2022-04-25,140904.757,3077.173,14103.452,Low
Brunei,2022-04-25,314294.814,224.943,71809.251,High
Bulgaria,2022-04-25,169994.05,5433.389,18563.307,Low
Burkina Faso,2022-04-25,920.227,16.892,1703.102,Lowest
Burundi,2022-04-25,3036.871,1.164,702.225,Lowest
Cambodia,2022-04-25,8123.641,182.254,3645.07,Lowest
Cameroon,2022-04-25,4293.461,69.032,3364.926,Lowest
Canada,2022-04-25,95990.548,1007.767,44017.591,High
Cape Verde,2022-04-25,94416.028,676.038,6222.554,Lowest
Cayman Islands,2022-04-25,316565.292,392.887,49903.029,High
Central African Republic,2022-04-25,2572.794,20.254,661.24,Lowest
Chad,2022-04-25,417.303,10.89,1768.153,Lowest
Chile,2022-04-25,180805.485,2926.738,22767.037,Average
China,2022-04-25,713.353,10.436,15308.712,Low
Colombia,2022-04-25,117415.27,2694.316,13254.949,Low
Comoros,2022-04-25,9685.904,191.208,1413.89,Lowest
Congo,2022-04-25,4024.668,64.484,4881.406,Lowest
Costa Rica,2022-04-25,163638.455,1618.079,15524.995,Low
Cote d'Ivoire,2022-04-25,2907.862,28.373,3601.006,Lowest
Croatia,2022-04-25,277189.81,3914.786,22669.797,Average
Cyprus,2022-04-25,524905.497,1122.759,32415.132,Average
Czechia,2022-04-25,397445.681,3830.097,32605.906,Average
Democratic Republic of Congo,2022-04-25,880.222,13.504,808.133,Lowest
Denmark,2022-04-25,528540.821,1032.256,46682.515,High
Djibouti,2022-04-25,13927.81,168.622,2705.406,Lowest
Dominica,2022-04-25,165383.875,865.884,9673.367,Lowest
Dominican Republic,2022-04-25,51570.775,389.711,14600.861,Low
Ecuador,2022-04-25,48222.482,1976.612,10581.936,Low
Egypt,2022-04-25,4626.251,221.695,10550.206,Low
El Salvador,2022-04-25,25580.642,651.317,7292.458,Lowest
Eritrea,2022-04-25,2642.207,27.958,1510.459,Lowest
Estonia,2022-04-25,418801.807,1821.179,29481.252,Average
Eswatini,2022-04-25,58488.117,1162.539,7738.975,Lowest
Ethiopia,2022-04-25,3812.751,60.869,1729.927,Lowest
Fiji,2022-04-25,69397.883,927.112,8702.975,Lowest
Finland,2022-04-25,191823.482,825.882,40585.721,High
France,2022-04-25,423449.042,2257.228,38605.671,High
Gabon,2022-04-25,19923.424,126.831,16562.413,Low
Gambia,2022-04-25,4432.75,134.886,1561.767,Lowest
Georgia,2022-04-25,441796.183,4473.365,9745.079,Lowest
Germany,2022-04-25,292147.412,1687.997,45229.245,High
Ghana,2022-04-25,4814.572,43.165,4227.63,Lowest
Greece,2022-04-25,316858.148,2792.882,24574.382,Average
Grenada,2022-04-25,115001.714,1753.561,13593.877,Low
Guatemala,2022-04-25,47150.025,980.502,7423.808,Lowest
Guinea,2022-04-25,2637.137,31.892,1998.926,Lowest
Guinea-Bissau,2022-04-25,3887.765,81.213,1548.675,Lowest
Guyana,2022-04-25,78403.466,1518.436,7435.047,Lowest
Haiti,2022-04-25,2646.439,72.076,1653.173,Lowest
Honduras,2022-04-25,40501.366,1044.105,4541.795,Lowest
Hong Kong,2022-04-25,NA,NA,56054.92,High
Hungary,2022-04-25,189715.594,4619.905,26777.561,Average
Iceland,2022-04-25,476544.839,294.983,46482.958,High
India,2022-04-25,30382.699,368.475,6426.674,Lowest
Indonesia,2022-04-25,21938.731,566.603,11188.744,Low
Iran,2022-04-25,81484.65,1591.881,19082.62,Low
Iraq,2022-04-25,52232.437,566.431,15663.986,Low
Ireland,2022-04-25,303307.833,1454.478,67335.293,High
Israel,2022-04-25,429393.692,1137.263,33132.32,Average
Italy,2022-04-25,272355.988,2754.335,35220.084,High
Jamaica,2022-04-25,45798.198,1040.892,8193.571,Lowest
Japan,2022-04-25,61798.364,236.447,39002.223,High
Jordan,2022-04-25,150253.746,1246.159,8337.49,Lowest
Kazakhstan,2022-04-25,71881.078,980.153,24055.588,Average
Kenya,2022-04-25,5991.321,104.558,2993.028,Lowest
Kiribati,2022-04-25,23438.512,99.057,1981.132,Lowest
Kosovo,2022-04-25,127887.37,1755.218,9795.834,Lowest
Kuwait,2022-04-25,147909.548,598.517,65530.537,High
Kyrgyzstan,2022-04-25,12499.583,154.435,3393.474,Lowest
Laos,2022-04-25,27262.186,89.116,6397.36,Lowest
Latvia,2022-04-25,441634.687,3436.083,25063.846,Average
Lebanon,2022-04-25,199703.301,1889.888,13367.565,Low
Lesotho,2022-04-25,14360.581,302.278,2851.153,Lowest
Liberia,2022-04-25,1401.93,55.444,752.788,Lowest
Libya,2022-04-25,73675.669,943.875,17881.509,Low
Lithuania,2022-04-25,416646.122,3298.112,29524.265,Average
Luxembourg,2022-04-25,397683.141,1287.83,94277.965,High
Macao,2022-04-25,NA,NA,104861.851,High
Madagascar,2022-04-25,2166.44,46.975,1416.44,Lowest
Malawi,2022-04-25,4202.189,129.035,1095.042,Lowest
Malaysia,2022-04-25,130562.932,1045.989,26808.164,Average
Maldives,2022-04-25,342116.617,568.922,15183.616,Low
Mali,2022-04-25,1359.987,32.354,2014.306,Lowest
Malta,2022-04-25,170094.113,1329.476,36513.323,High
Marshall Islands,2022-04-25,360.638,NA,3819.202,Lowest
Mauritania,2022-04-25,12390.454,207.342,3597.633,Lowest
Mauritius,2022-04-25,170542.325,761.844,20292.745,Average
Mexico,2022-04-25,45273.525,2556.098,17336.469,Low
Moldova,2022-04-25,157955.119,3510.243,5189.972,Lowest
Mongolia,2022-04-25,270846.078,620.297,11840.846,Low
Montenegro,2022-04-25,329251.996,4061.67,16409.288,Low
Morocco,2022-04-25,31092.71,428.881,7485.013,Lowest
Mozambique,2022-04-25,6835.344,66.759,1136.103,Lowest
Myanmar,2022-04-25,11309.649,358.698,5591.597,Lowest
Namibia,2022-04-25,61689.334,1567.964,9541.808,Lowest
Nauru,2022-04-25,236.388,NA,12895.635,Low
Nepal,2022-04-25,32039.946,391.226,2442.804,Lowest
Netherlands,2022-04-25,457839.891,1266.111,48472.545,High
New Zealand,2022-04-25,171097.889,124.198,36085.843,High
Nicaragua,2022-04-25,2068.247,33.533,5321.444,Lowest
Niger,2022-04-25,340.125,11.79,926,Lowest
Nigeria,2022-04-25,1169.962,14.382,5338.454,Lowest
North Macedonia,2022-04-25,147643.348,4599.242,13111.214,Low
Norway,2022-04-25,262153.306,540.27,64800.057,High
Oman,2022-04-25,85011.035,1010.423,37960.709,High
Pakistan,2022-04-25,6478.329,128.778,5034.708,Lowest
Palau,2022-04-25,243087.812,331.785,13240.405,Low
Palestine,2022-04-25,125152.474,1077.508,4449.898,Lowest
Panama,2022-04-25,174887.299,1855.926,22267.037,Average
Papua New Guinea,2022-04-25,4318.409,63.987,3823.194,Lowest
Paraguay,2022-04-25,95717.211,2771.819,8827.01,Lowest
Peru,2022-04-25,104534.099,6247.476,12236.706,Low
Philippines,2022-04-25,31880.942,520.79,7599.188,Lowest
Poland,2022-04-25,150304.748,2909.064,27216.445,Average
Portugal,2022-04-25,385587.493,2163.792,27936.896,Average
Puerto Rico,2022-04-25,167786.553,1293.194,35044.67,High
Qatar,2022-04-25,135091.393,251.194,116935.6,High
Romania,2022-04-25,146893.755,3327.743,23313.199,Average
Russia,2022-04-25,125331.504,2590.653,24765.954,Average
Rwanda,2022-04-25,9420.615,105.903,1854.211,Lowest
Saint Kitts and Nevis,2022-04-25,116650.238,901.827,24654.385,Average
Saint Lucia,2022-04-25,129119.596,2045.899,12951.839,Low
Saint Vincent and the Grenadines,2022-04-25,80772.228,1019.633,10727.146,Low
Samoa,2022-04-25,33598.633,58.456,6021.557,Lowest
San Marino,2022-04-25,483110.715,3383.793,56861.47,High
Sao Tome and Principe,2022-04-25,26179.346,321.03,3052.714,Lowest
Saudi Arabia,2022-04-25,20690.918,249.28,49045.411,High
Senegal,2022-04-25,4965.451,113.534,2470.58,Lowest
Serbia,2022-04-25,291221.758,2321.602,14048.881,Low
Seychelles,2022-04-25,394604.938,1521.445,26382.287,Average
Sierra Leone,2022-04-25,892.081,14.525,1390.3,Lowest
Singapore,2022-04-25,209714.988,235.053,85535.383,High
Slovakia,2022-04-25,314489.617,3515.4,30155.152,Average
Slovenia,2022-04-25,474069.542,3612.06,31400.84,Average
Solomon Islands,2022-04-25,19581.041,193.298,2205.923,Lowest
South Africa,2022-04-25,62772.503,1674.595,12294.876,Low
South Korea,2022-04-25,326724.694,429.271,35938.374,High
South Sudan,2022-04-25,1597.886,12.645,1569.888,Lowest
Spain,2022-04-25,250237.959,2220.354,34272.36,Average
Sri Lanka,2022-04-25,30375.387,755.858,11669.077,Low
Sudan,2022-04-25,1325.143,105.196,4466.507,Lowest
Suriname,2022-04-25,128310.838,2147.089,13767.119,Low
Sweden,2022-04-25,237022.398,1782.574,46949.283,High
Switzerland,2022-04-25,411729.414,1513.191,57410.166,High
Tajikistan,2022-04-25,1787.037,12.559,2896.913,Lowest
Tanzania,2022-04-25,517.148,12.26,2683.304,Lowest
Thailand,2022-04-25,58103.862,387.394,16277.671,Low
Timor,2022-04-25,17043.192,96.921,6570.102,Lowest
Togo,2022-04-25,4178.806,30.852,1429.813,Lowest
Tonga,2022-04-25,89391.487,102.932,5425.621,Lowest
Trinidad and Tobago,2022-04-25,93977.765,2489.153,28763.071,Average
Tunisia,2022-04-25,84130.968,2309.221,10849.297,Low
Turkey,2022-04-25,175955.594,1156.592,25129.341,Average
Turkmenistan,2022-04-25,NA,NA,16389.023,Low
Tuvalu,2022-04-25,NA,NA,3575.104,Lowest
Uganda,2022-04-25,3472.073,76.128,1697.707,Lowest
Ukraine,2022-04-25,124836.884,2663.989,7894.393,Lowest
United Arab Emirates,2022-04-25,94998.294,243.827,67293.483,High
United Kingdom,2022-04-25,325403.366,2907.956,39753.244,High
United States,2022-04-25,237215.195,2917.282,54225.446,High
Uruguay,2022-04-25,262319.753,2104.42,20551.409,Average
Uzbekistan,2022-04-25,4531.206,29.341,6253.104,Lowest
Vanuatu,2022-04-25,21001.151,36.726,2921.909,Lowest
Venezuela,2022-04-25,18447.231,201.578,16745.022,Low
Vietnam,2022-04-25,107585.704,438.073,6171.884,Lowest
Yemen,2022-04-25,350.718,63.745,1479.147,Lowest
Zambia,2022-04-25,15935.121,198.525,3689.251,Lowest
Zimbabwe,2022-04-25,15166.411,335.038,1899.775,Lowest
